title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
$,1971,121,,6.4,348,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,"Crime, Comedy, Drama"
$1000 a Touchdown,1939,71,,6,20,0,14.5,4.5,24.5,14.5,14.5,14.5,4.5,4.5,14.5,,Comedy
$21 a Day Once a Month,1941,7,,8.2,5,0,0,0,0,0,24.5,0,44.5,24.5,24.5,,"Animation, Short"
"$40,000",1996,70,,8.2,6,14.5,0,0,0,0,0,0,0,34.5,45.5,,Comedy
"$50,000 Climax Show, The",1975,71,,3.4,17,24.5,4.5,0,14.5,14.5,4.5,0,0,0,24.5,,Adult
$pent,2000,91,,4.3,45,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,14.5,,Drama
$windle,2002,93,,5.3,200,4.5,0,4.5,4.5,24.5,24.5,14.5,4.5,4.5,14.5,R,"Action, Crime, Thriller, Drama"
'15',2002,25,,6.7,24,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,"Documentary, Short"
'38,1987,97,,6.6,18,4.5,4.5,4.5,0,0,0,34.5,14.5,4.5,24.5,,Drama
'49-'17,1917,61,,6,51,4.5,0,4.5,4.5,4.5,44.5,14.5,4.5,4.5,4.5,,Western
